Mammal,Provincial Containment,Virginia opossum,Didelphis ,virginiana
Other invertebrates,Provincial Containment,Corbicula clam,Corbicula ,fluminea
Other invertebrates,Provincial Containment,Cherry shrimp,Neocaridina ,davidi
Other invertebrates,Provincial Containment,Chinese mystery snail,Cipangopaludina,chinensis
Other invertebrates,Provincial Containment,New Zealand mudsnail,Potamopyrgus ,antipodarum
Plant,Provincial Containment,Garlic mustard,Alliaria ,petiolata
Plant,Provincial Containment,Giant hogweed,Heracleum ,mantegazzianum
Plant,Provincial Containment,Japanese butterbur,Petasites ,japonica
Plant,Provincial Containment,North Africa grass,Ventenata ,dubia
Plant,Provincial Containment,Poison hemlock,Conium ,maculatum
Plant,Provincial Containment,Teasel,Dipsacus ,fullonum
Plant,Provincial Containment,Wild parsnip,Pastinaca ,sativa
Reptile,Provincial Containment,Snapping turtle ,Chelydra,serpentina
Amphibian,Regional Containment/Control,American bullfrog,Lithobates ,catesbeianus
Amphibian,Regional Containment/Control,Green frog,Lithobates,clamitans
Disease,Regional Containment/Control,Whirling disease,Myxobolus ,cerebralis
Fish,Regional Containment/Control,Goldfish,Carassius ,auratus
Fish,Regional Containment/Control,Northern pike (southern BC),Esox ,lucius
Fish,Regional Containment/Control,Oriental weatherfish,Misgurnus ,anguillicaudatus
Fish,Regional Containment/Control,Yellow perch (in Thompson Nicola),Perca ,flavescens
Insects and spiders,Regional Containment/Control,European fire ant,Myrmica ,rubra
Insects and spiders,Regional Containment/Control,Little fire ant,Wasmannia,auropunctata
Insects and spiders,Regional Containment/Control,Tropical stinging ant,Hypoponera,punctatissima
Insects and spiders,Regional Containment/Control,Impressive fire ant,Myrmica,specioides
Mammal,Regional Containment/Control,Eastern fox squirrel,Sciurus ,niger
Mammal,Regional Containment/Control,Eastern grey squirrel,Sciurus ,carolinensis 
Mammal,Regional Containment/Control,European rabbit,Oryctolagus ,cuniculus
Mammal,Regional Containment/Control,Norway rat/Brown rat,Ratus,norvegicus
Mammal,Regional Containment/Control,Roof Rat/Black Rat,Ratus,ratus
Plant,Regional Containment/Control,Blueweed,Echium ,vulgare
Plant,Regional Containment/Control,"Broom, Portuguese",Cytisus ,striatus
Plant,Regional Containment/Control,"Broom, Scotch",Cytisus ,scoparius
Plant,Regional Containment/Control,Common bugloss,Anchusa ,officinalis
