Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
IILEG0X010,Polix coloradella,The Skunk Moth,,S5? (2020),Yellow,GNR,,,,,,
AFCUA02010,Polyacanthonotus challengeri,Longnose Tapirfish,,SNR,Not Reviewed,GNR,,,,,,
NLVER0E010,Polyblastia albida,,,SU (2020),Unknown,GNR,,,,,,
NLVER0M050,Polyblastia anceps,,,SU (2020),Unknown,GNR,,,,,,
NLT0023110,Polyblastia cucurbitula,,,SU (2020),Unknown,GNR,,,,,,
NLT0023120,Polyblastia cupularis,,,SU (2020),Unknown,GNR,,,,,,
NLT0023150,Polyblastia gothica,,,SU (2020),Unknown,G3G4 (2002),,,,,,
NLT0023160,Polyblastia hyperborea,,,SU (2020),Unknown,G3G5 (2002),,,,,,
NLVER0M060,Polyblastia intermedia,,,SU (2020),Unknown,GNR,,,,,,
NLT0023180,Polyblastia obsoleta,,,SU (2025),Unknown,GNR,,,,,,
NLVER0M070,Polyblastia plicata,,,SU (2020),Unknown,GNR,,,,,,
NLT0023190,Polyblastia sendtneri,,,SU (2020),Unknown,G3G5 (2002),,,,,,
NLT0023200,Polyblastia septentrionalis,,,SU (2020),Unknown,GNR,,,,,,
NLVER0M090,Polyblastia viridescens,,,SU (2020),Unknown,GNR,,,,,,
IICOLPN230,Polycaon stoutii,Stout's Hardwood Borer,,SU (2023),Not Reviewed,GNR,,,,,,
PDCAR0N020,Polycarpon tetraphyllum ssp. tetraphyllum,four-leaved all-seed,,SNA (2019),Exotic,GNRTNR,,,,,,
NLT0005860,Polycauliona bolacina,,,S4 (2020),Yellow,G3G5 (2001),,,,,,
NLT0031900,Polycauliona candelaria,shrublet sunburst,,S5 (2018),Yellow,G5 (2013),,,,,,
NLT0006230,Polycauliona flavogranulosa,,,S5 (2020),Yellow,G2G4 (2001),,,,,,
NLT0006360,Polycauliona inconspecta,,,SU (2020),Unknown,G2G3 (2001),,,,,,
NLT0006460,Polycauliona ludificans,,,SU (2020),Unknown,G2 (2001),,,,,,
NLT0006480,Polycauliona luteominia,,,S4S5 (2020),Yellow,G2G3 (2001),,,,,,
NLTEL04050,Polycauliona pollinarioides,,,SU (2024),Unknown,GNR,,,,,,
NLT0006650,Polycauliona rosei,,,S5 (2020),Yellow,GNR,,,,,,
NLT0033130,Polycauliona stellata,,,S5 (2020),Yellow,G3G5 (2002),,,,,,
NLT0006920,Polycauliona verruculifera,warty firedot,,S4 (2020),Yellow,G4G5 (2002),,,,,,
IITRI05180,Polycentropus cinereus,A Caddisfly,,S4S5 (2016),Not Reviewed,G5 (2017),,,,,,
IITRI65820,Polycentropus denningi,A Caddisfly,,SU (2016),Not Reviewed,G3G4 (2005),,,,,,
IITRI05020,Polycentropus flavus,A Caddisfly,,S4S5 (2016),Not Reviewed,G5 (2017),,,,,,
IITRI05380,Polycentropus halidus,A Caddisfly,,SU (2016),Not Reviewed,G5 (2009),,,,,,
IITRI05240,Polycentropus interruptus,A Caddisfly,,S4S5 (2016),Not Reviewed,G5 (2024),,,,,,
IITRI05030,Polycentropus remotus,A Caddisfly,,S4S5 (2016),Not Reviewed,G5 (2017),,,,,,
