"","score_spatial_density","score_spatial_lastupdate","score_spatial_climfreq","score_spatial_completeness","score_spatial_modeldisagree","total","cellID"
"27",0.630534539424878,0.0208333333333334,0,0.269859667168507,0.346553316813218,0.253556171347987,27
"129",1,1,0.737819025522042,1,0.476766044989872,0.842917014102383,129
"184",1,1,0.368909512761021,1,0.51493794698624,0.776769491949452,184
"185",1,1,0.368909512761021,1,0.488727523678764,0.771527407287957,185
"186",1,1,0.368909512761021,1,0.433022839817429,0.76038647051569,186
"298",1,1,0.967517401392111,1,0.911567942439111,0.975817068766245,298
"299",1,1,0.967517401392111,1,0.851822592280987,0.96386799873462,299
"300",1,1,0.967517401392111,1,0.775665625596357,0.948636605397694,300
"301",1,1,0.965197215777262,1,0.647780192733896,0.922595481702232,301
"302",1,1,0.923433874709977,1,0.596796528971721,0.90404608073634,302
"303",1,1,0.923433874709977,1,0.557178388774056,0.896122452696807,303
"304",1,1,0.923433874709977,1,0.501863367878663,0.885059448517728,304
"305",1,1,0.851508120649652,1,0.479775179749552,0.866256660079841,305
"306",1,1,0.851508120649652,1,0.497743255047605,0.869850275139451,306
"307",1,1,0.851508120649652,1,0.494238622936172,0.869149348717165,307
"308",1,1,0.835266821345708,1,0.479928483970176,0.863039061063177,308
"309",1,1,0.835266821345708,1,0.555081580377626,0.878069680344667,309
"310",1,1,0.948955916473318,1,0.629182982948531,0.91562777988437,310
"311",1,1,0.948955916473318,1,0.646834828497535,0.919158148994171,311
"312",1,1,0.835266821345708,1,0.62457897493101,0.891969159255344,312
"313",1,1,0.835266821345708,1,0.540945686125703,0.875242501494282,313
"314",1,1,0.728538283062645,1,0.384154448873272,0.822538546387183,314
"315",1,1,0.345707656612529,1,0.315648367375489,0.732271204797604,315
"316",1,1,0.303944315545244,1,0.342477844020561,0.729284431913161,316
"317",1,1,0.303944315545244,1,0.408775800005553,0.742544023110159,317
"318",1,1,0,1,0.46985164969172,0.693970329938344,318
"319",1,1,0,1,0.461895747824108,0.692379149564822,319
"320",1,1,0,1,0.394112856171883,0.678822571234377,320
